UNDERLYING                          ,SYMBOL    ,JUL-23     ,AUG-23     ,SEP-23     ,DEC-23     ,MAR-24     ,JUN-24     ,DEC-24     ,JUN-25     ,DEC-25     ,JUN-26     ,DEC-26     ,JUN-27     ,DEC-27     ,JUN-28     
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875        ,875        ,875        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PAGE INDUSTRIES LTD                 ,PAGEIND   ,15         ,15         ,15         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JK CEMENT LIMITED                   ,JKCEMENT  ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PERSISTENT SYSTEMS LTD              ,PERSISTENT,175        ,175        ,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PI INDUSTRIES LTD                   ,PIIND     ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SBI CARDS & PAY SER LTD             ,SBICARD   ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SBI LIFE INSURANCE CO LTD           ,SBILIFE   ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,8924       ,8924       ,8924       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. LAL PATH LABS LTD.              ,LALPATHLAB,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LAURUS LABS LIMITED                 ,LAURUSLABS,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LTIMINDTREE LIMITED                 ,LTIM      ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T TECHNOLOGY SER. LTD.            ,LTTS      ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHINDRA & MAHINDRA LTD             ,M&M       ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
M&M FIN. SERVICES LTD               ,M&MFIN    ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,1200       ,1200       ,1200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
METROPOLIS HEALTHCARE LTD           ,METROPOLIS,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CIPLA LTD                           ,CIPLA     ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRF LTD                             ,MRF       ,10         ,10         ,10         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600       ,3600       ,3600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NAVIN FLUORINE INT. LTD             ,NAVINFLUOR,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSULTANCY SERV LT            ,TCS       ,175        ,175        ,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TECH MAHINDRA LIMITED               ,TECHM     ,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TRENT LTD                           ,TRENT     ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIOCON LIMITED.                     ,BIOCON    ,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NESTLE INDIA LIMITED                ,NESTLEIND ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
WIPRO LTD                           ,WIPRO     ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OBEROI REALTY LIMITED               ,OBEROIRLTY,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,3850       ,3850       ,3850       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CITY UNION BANK LTD                 ,CUB       ,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1900       ,1900       ,1900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PETRONET LNG LIMITED                ,PETRONET  ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIDILITE INDUSTRIES LTD             ,PIDILITIND,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PUNJAB NATIONAL BANK                ,PNB       ,16000      ,16000      ,16000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRANULES INDIA LIMITED              ,GRANULES  ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER GRID CORP. LTD.               ,POWERGRID ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RBL BANK LIMITED                    ,RBLBANK   ,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
REC LIMITED                         ,RECLTD    ,8000       ,8000       ,8000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
STEEL AUTHORITY OF INDIA            ,SAIL      ,8000       ,8000       ,8000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
STATE BANK OF INDIA                 ,SBIN      ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHREE CEMENT LIMITED                ,SHREECEM  ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SRF LTD                             ,SRF       ,375        ,375        ,375        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,4200       ,4200       ,4200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SYNGENE INTERNATIONAL LTD           ,SYNGENE   ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CHEMICALS LTD                  ,TATACHEM  ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA COMMUNICATIONS LTD             ,TATACOMM  ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,900        ,900        ,900        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA MOTORS LIMITED                 ,TATAMOTORS,1425       ,1425       ,1425       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA POWER CO LTD                   ,TATAPOWER ,3375       ,3375       ,3375       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUSIND BANK LIMITED               ,INDUSINDBK,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TITAN COMPANY LIMITED               ,TITAN     ,375        ,375        ,375        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED BREWERIES LTD                ,UBL       ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UPL LIMITED                         ,UPL       ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VOLTAS LTD                          ,VOLTAS    ,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ZEE ENTERTAINMENT ENT LTD           ,ZEEL      ,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MANAPPURAM FINANCE LTD              ,MANAPPURAM,6000       ,6000       ,6000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VEDANTA LIMITED                     ,VEDL      ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW STEEL LIMITED                   ,JSWSTEEL  ,1350       ,1350       ,1350       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NMDC LTD.                           ,NMDC      ,4500       ,4500       ,4500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POLYCAB INDIA LIMITED               ,POLYCAB   ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SIEMENS LTD                         ,SIEMENS   ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MULTI COMMODITY EXCHANGE            ,MCX       ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHANAGAR GAS LTD.                  ,MGL       ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON ,7100       ,7100       ,7100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PVR INOX LIMITED                    ,PVRINOX   ,407        ,407        ,407        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN TV NETWORK LIMITED              ,SUNTV     ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIRAMAL ENTERPRISES LTD             ,PEL       ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER FIN CORP LTD.                 ,PFC       ,6200       ,6200       ,6200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA STEEL LIMITED                  ,TATASTEEL ,5500       ,5500       ,5500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ PROPERTIES LTD               ,GODREJPROP,475        ,475        ,475        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,80000      ,80000      ,80000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MPHASIS LIMITED                     ,MPHASIS   ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
